EQUIPES;V;D;% VIT.;JA;CASA;VISITANTE;DIV;CONF;PTS;PTS CONTRA;DIF;STRK;U10
Milwaukee Bucks;53;12;.815;-;28-3;25-9;13-1;34-5;118.6;107.4;+11.2;D3;6-4
Toronto Raptors;46;18;.719;6.5;23-9;23-9;8-4;30-10;113.0;106.5;+6.5;V4;6-4
Boston Celtics;43;21;.672;9.5;23-9;20-12;7-6;27-10;113.0;106.8;+6.2;V1;5-5
Miami Heat;41;24;.631;12;27-5;14-19;10-4;28-10;112.2;108.9;+3.3;D1;6-4
Indiana Pacers;39;26;.600;14;21-11;18-15;8-7;24-18;109.3;107.4;+1.9;D1;7-3
Philadelphia 76ers;39;26;.600;14;29-2;10-24;11-4;26-16;109.6;107.4;+2.2;V1;5-5
Brooklyn Nets;30;34;.469;22.5;18-14;12-20;6-9;20-21;110.8;111.4;-0.6;V3;5-5
Orlando Magic;30;35;.462;23;16-15;14-20;9-5;19-18;106.4;107.3;-0.9;V3;6-4
Washington Wizards;24;40;.375;28.5;16-16;8-24;5-9;17-23;115.6;119.6;-4.0;V1;4-6
Charlotte Hornets;23;42;.354;30;10-21;13-21;2-7;16-24;102.9;109.6;-6.7;V1;4-6
Chicago Bulls;22;43;.338;31;14-20;8-23;7-9;15-28;106.8;109.9;-3.1;V1;3-7
New York Knicks;21;45;.318;32.5;11-22;10-23;2-11;15-28;105.8;112.3;-6.5;V1;4-6
Detroit Pistons;20;46;.303;33.5;11-22;9-24;5-10;12-31;107.2;110.8;-3.6;D5;1-9
Atlanta Hawks;20;47;.299;34;14-20;6-27;6-7;11-32;111.8;119.7;-7.9;D1;4-6
Cleveland Cavaliers;19;46;.292;34;11-25;8-21;4-10;12-32;106.9;114.8;-7.9;D1;4-6
